Symbol,Date,Open,High,Low,Close,Volume,GSAT SMA,GSAT spanTwelveEMA,GSAT spanTwntySixEMA,GSAT_x,GSAT_y
GSAT,2020-12-17,0.34,0.37,0.34,0.3623,1169344,0.3623,0.32832320445750085,0.325351590881743,0.00297161357575787,-0.00040994747751406596
GSAT,2020-12-16,0.3241,0.3298,0.3222,0.32799999999999996,221325,0.3279999999999999,0.32214560526795555,0.3223957181522824,-0.0002501128843268585,-0.0012553377408320498
GSAT,2020-12-15,0.318,0.32,0.318,0.3199,75791,0.3199,0.3210811698621293,0.32194737560446496,-0.0008662057423356463,-0.0015066439549583476
GSAT,2020-12-14,0.3212,0.324,0.3204,0.3219,144923,0.3218999999999999,0.3212959280188801,0.32211116565282216,-0.0008152376339420343,-0.001666753508114023
GSAT,2020-12-11,0.3227,0.326949,0.3213,0.325999,161688,0.3259989999999999,0.3211860967495856,0.3221280589050479,-0.000941962155462328,-0.0018796324766570062
GSAT,2020-12-10,0.3224,0.3236,0.3142,0.3142,300749,0.3141999999999999,0.32031102343132845,0.3218183836174517,-0.0015073601861232966,-0.0021140500569556755
GSAT,2020-12-09,0.33,0.33,0.32,0.3236,344123,0.32359999999999994,0.3214221186006609,0.3224278543068479,-0.0010057357061870054,-0.002265722524663784
GSAT,2020-12-08,0.32,0.32,0.315,0.3152,101364,0.3151999999999999,0.32102614016441744,0.3223340826513957,-0.0013079424869782974,-0.0025807192292829784
GSAT,2020-12-07,0.34,0.34,0.33,0.332,246692,0.332,0.3220854383761297,0.32290480926350745,-0.0008193708873777128,-0.0028989134148591626
GSAT,2020-12-04,0.32,0.33,0.317,0.32381,228308,0.32381,0.3202827908081533,0.32217719400458805,-0.0018944031964347465,-0.0034187990467295106
GSAT,2020-12-03,0.327,0.3296,0.325,0.3251,94795,0.3251,0.3196414800459993,0.3220465695249551,-0.0024050894789557358,-0.0037998980093032013
GSAT,2020-12-02,0.337,0.337,0.3275,0.3313,131708,0.3313,0.3186490218725447,0.3218022950869515,-0.0031532732144068376,-0.004148600141890054
GSAT,2020-12-01,0.32,0.325,0.317,0.318,192328,0.318,0.3163488440311892,0.3210424786939076,-0.004693634662718439,-0.004397431873760857
GSAT,2020-11-30,0.314,0.316899,0.311,0.3122,179053,0.3122,0.3160486338550418,0.32128587698942024,-0.0052372431343784545,-0.004323381176521463
GSAT,2020-11-27,0.315,0.31969899999999996,0.3089,0.3136,89863,0.31359999999999993,0.3167483854650494,0.32201274714857386,-0.005264361683524454,-0.004094915687057214
GSAT,2020-11-27,0.315,0.31969899999999996,0.3089,0.3136,89863,0.3136,0.3173208191859675,0.3226857669204598,-0.005364947734492309,-0.003802554187940404
GSAT,2020-11-25,0.31,0.31,0.3063,0.3082,144978,0.3081999999999999,0.3179973317652344,0.32341262827409656,-0.005415296508862189,-0.0034119558013024276
GSAT,2020-11-24,0.312,0.3147,0.308,0.31065,234489,0.3106499999999999,0.3197786648134588,0.3246296385360243,-0.004850973722565488,-0.0029111206244125006
GSAT,2020-11-23,0.3189,0.3189,0.312,0.316,182553,0.31599999999999995,0.3214384220522695,0.3257480096189062,-0.00430958756663674,-0.0024261573498742532
GSAT,2020-11-20,0.3149,0.316399,0.313,0.31515,73892,0.3151499999999999,0.322427226061773,0.3265278503884187,-0.004100624326645708,-0.001955299795683645
GSAT,2020-11-19,0.3163,0.3188,0.3123,0.314,90179,0.3139999999999999,0.3237503580730044,0.3274380784194922,-0.0036877203464877883,-0.0014189686629431293
GSAT,2020-11-18,0.312,0.3124,0.31,0.311,56291,0.3109999999999999,0.32552315044991426,0.32851312469305155,-0.0029899742431372944,-0.0008517807420569645
GSAT,2020-11-17,0.315,0.32,0.305,0.3104,277477,0.31039999999999995,0.3281637232589896,0.3299141746684957,-0.0017504514095061374,-0.000317232366786882
GSAT,2020-11-16,0.33,0.33,0.32,0.327,258343,0.327,0.3313934911242604,0.3314753086419753,-8.181751771491054e-05,4.107239389291806e-05
GSAT,2020-11-13,0.3323,0.33822800000000003,0.3323,0.336,94214,0.336,0.3321923076923077,0.33183333333333337,0.0003589743589743621,7.179487179486133e-05
GSAT,2020-11-12,0.33,0.3324,0.3259,0.3315,66199,0.3315,0.3315,0.3315,0.0,0.0
