Symbol,Date,Open,High,Low,Close,Volume,AFMD SMA_x,AFMD SMA_y,AFMD SMA_x,AFMD SMA_y
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,3.0999999999999988,3.0999999999999988,3.0999999999999988,3.099999999999999
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,3.1299999999999986,3.1299999999999986,3.1299999999999986,3.1299999999999986
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,3.1199999999999983,3.1199999999999983,3.1199999999999983,3.1199999999999983
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,3.2899999999999983,3.2899999999999983,3.2899999999999983,3.2899999999999983
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,3.3919999999999986,3.3919999999999986,3.3919999999999986,3.3919999999999986
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,3.4999999999999987,3.4999999999999987,3.4999999999999987,3.4999999999999987
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,3.3199999999999985,3.3199999999999985,3.3199999999999985,3.3199999999999985
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,3.5167999999999986,3.5167999999999986,3.5167999999999986,3.5167999999999986
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,3.5299999999999985,3.5299999999999985,3.5299999999999985,3.5299999999999985
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,3.3449999999999984,3.3449999999999984,3.3449999999999984,3.3449999999999984
AFMD,2020-06-01,3.26,3.4,3.26,3.3366,142618,3.3365999999999976,3.3365999999999976,3.3365999999999976,3.3365999999999976
AFMD,2020-05-29,3.03,3.17,2.9702,3.1401,244936,3.1400999999999977,3.1400999999999977,3.1400999999999977,3.1400999999999977
AFMD,2020-05-28,3.17,3.39,3.17,3.378,247626,3.3779999999999983,3.3779999999999983,3.3779999999999983,3.377999999999998
AFMD,2020-05-27,3.14,3.21,3.03,3.06,155311,3.0599999999999983,3.0599999999999983,3.0599999999999983,3.059999999999998
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,3.029999999999998,3.029999999999998,3.029999999999998,3.029999999999998
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,3.029999999999998,3.029999999999998,3.029999999999998,3.029999999999998
AFMD,2020-05-22,2.87,2.92,2.81,2.91,124575,2.9099999999999984,2.9099999999999984,2.9099999999999984,2.909999999999998
AFMD,2020-05-21,2.88,2.91,2.73,2.8652,103179,2.8651999999999984,2.8651999999999984,2.8651999999999984,2.865199999999998
AFMD,2020-05-20,2.96,2.98,2.81,2.8232,276648,2.8231999999999977,2.8231999999999977,2.8231999999999977,2.8231999999999977
AFMD,2020-05-19,2.47,2.53,2.45,2.52,513320,2.519999999999998,2.519999999999998,2.519999999999998,2.519999999999998
AFMD,2020-05-18,2.44,2.48,2.4,2.465,278884,2.4649999999999976,2.4649999999999976,2.4649999999999976,2.4649999999999976
AFMD,2020-05-15,2.09,2.17,2.0,2.1608,201341,2.1607999999999983,2.1607999999999983,2.1607999999999983,2.1607999999999983
AFMD,2020-05-14,2.05,2.05,1.88,1.97,157552,1.969999999999998,1.969999999999998,1.969999999999998,1.969999999999998
AFMD,2020-05-13,2.15,2.175,2.1,2.16,63664,2.1599999999999984,2.1599999999999984,2.1599999999999984,2.1599999999999984
AFMD,2020-05-12,2.22,2.255,2.135,2.205,67920,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983
AFMD,2020-05-11,2.26,2.2901,2.21,2.26,50178,2.259999999999998,2.259999999999998,2.259999999999998,2.259999999999998
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,,3.9635999999999982,3.9635999999999982,3.963599999999998
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,,3.6299999999999977,3.6299999999999977,3.6299999999999977
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,,3.5599999999999983,3.5599999999999983,3.559999999999998
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,,3.6199999999999983,3.6199999999999983,3.619999999999998
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,,3.4749999999999983,3.4749999999999983,3.474999999999998
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,,3.099999999999997,3.099999999999997,3.0999999999999974
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,,3.129999999999997,3.1299999999999972,3.129999999999997
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,,3.119999999999997,3.119999999999997,3.1199999999999966
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,,3.2899999999999965,3.2899999999999965,3.2899999999999965
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,,3.391999999999997,3.3919999999999972,3.391999999999997
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,,3.499999999999997,3.499999999999997,3.499999999999997
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,,3.3199999999999967,3.3199999999999967,3.3199999999999967
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,,3.516799999999997,3.516799999999997,3.516799999999997
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,,3.5299999999999967,3.5299999999999967,3.5299999999999967
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,,3.3449999999999966,3.3449999999999966,3.3449999999999966
AFMD,2020-06-01,3.26,3.4,3.26,3.3366,142618,,3.336599999999996,3.336599999999996,3.336599999999996
AFMD,2020-05-29,3.03,3.17,2.9702,3.1401,244936,,3.140099999999996,3.140099999999996,3.140099999999996
AFMD,2020-05-28,3.17,3.39,3.17,3.378,247626,,3.377999999999996,3.3779999999999957,3.377999999999996
AFMD,2020-05-27,3.14,3.21,3.03,3.06,155311,,3.059999999999996,3.0599999999999956,3.059999999999996
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,,3.0299999999999963,3.0299999999999963,3.0299999999999963
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,,3.0299999999999963,3.0299999999999963,3.0299999999999963
AFMD,2020-05-22,2.87,2.92,2.81,2.91,124575,,2.909999999999996,2.9099999999999957,2.909999999999996
AFMD,2020-05-21,2.88,2.91,2.73,2.8652,103179,,2.865199999999996,2.8651999999999958,2.865199999999996
AFMD,2020-05-20,2.96,2.98,2.81,2.8232,276648,,2.823199999999996,2.823199999999996,2.823199999999996
AFMD,2020-05-19,2.47,2.53,2.45,2.52,513320,,2.519999999999996,2.519999999999996,2.519999999999996
AFMD,2020-05-18,2.44,2.48,2.4,2.465,278884,,2.4649999999999963,2.4649999999999963,2.464999999999996
AFMD,2020-05-15,2.09,2.17,2.0,2.1608,201341,,2.1607999999999965,2.1607999999999965,2.1607999999999965
AFMD,2020-05-14,2.05,2.05,1.88,1.97,157552,,1.9699999999999958,1.969999999999996,1.9699999999999962
AFMD,2020-05-13,2.15,2.175,2.1,2.16,63664,,2.1599999999999966,2.1599999999999966,2.1599999999999966
AFMD,2020-05-12,2.22,2.255,2.135,2.205,67920,,2.2049999999999965,2.2049999999999965,2.2049999999999965
AFMD,2020-05-11,2.26,2.2901,2.21,2.26,50178,,2.2599999999999962,2.259999999999996,2.2599999999999962
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,,,3.963599999999996,3.963599999999996
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,,,3.629999999999996,3.629999999999996
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,,,3.5599999999999956,3.559999999999996
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,,,3.6199999999999957,3.619999999999996
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,,,3.4749999999999956,3.474999999999996
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,,,3.099999999999996,3.0999999999999956
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,,,3.1299999999999955,3.129999999999995
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,,,3.1199999999999948,3.1199999999999948
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,,,3.2899999999999947,3.2899999999999947
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,,,3.391999999999995,3.391999999999995
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,,,3.499999999999995,3.499999999999995
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,,,3.3199999999999954,3.319999999999995
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,,,3.516799999999995,3.516799999999995
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,,,3.5299999999999954,3.529999999999995
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,,,3.3449999999999953,3.344999999999995
AFMD,2020-06-01,3.26,3.4,3.26,3.3366,142618,,,3.3365999999999936,3.336599999999994
AFMD,2020-05-29,3.03,3.17,2.9702,3.1401,244936,,,3.1400999999999932,3.140099999999994
AFMD,2020-05-28,3.17,3.39,3.17,3.378,247626,,,3.3779999999999943,3.3779999999999943
AFMD,2020-05-27,3.14,3.21,3.03,3.06,155311,,,3.0599999999999943,3.0599999999999943
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,,,3.0299999999999945,3.0299999999999945
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,,,3.0299999999999945,3.0299999999999945
AFMD,2020-05-22,2.87,2.92,2.81,2.91,124575,,,2.9099999999999944,2.9099999999999944
AFMD,2020-05-21,2.88,2.91,2.73,2.8652,103179,,,2.8651999999999944,2.8651999999999944
AFMD,2020-05-20,2.96,2.98,2.81,2.8232,276648,,,2.8231999999999933,2.823199999999994
AFMD,2020-05-19,2.47,2.53,2.45,2.52,513320,,,2.5199999999999942,2.5199999999999942
AFMD,2020-05-18,2.44,2.48,2.4,2.465,278884,,,2.464999999999994,2.464999999999994
AFMD,2020-05-15,2.09,2.17,2.0,2.1608,201341,,,2.1607999999999947,2.1607999999999947
AFMD,2020-05-14,2.05,2.05,1.88,1.97,157552,,,1.9699999999999944,1.9699999999999944
AFMD,2020-05-13,2.15,2.175,2.1,2.16,63664,,,2.1599999999999953,2.159999999999995
AFMD,2020-05-12,2.22,2.255,2.135,2.205,67920,,,2.2049999999999947,2.2049999999999947
AFMD,2020-06-23,4.18,4.38,3.93,4.38,406029,,,4.3799999999999955,4.379999999999995
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,,,,3.963599999999995
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,,,,3.629999999999995
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,,,,3.559999999999995
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,,,,3.619999999999995
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,,,,3.474999999999995
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,,,,3.0999999999999956
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,,,,3.129999999999995
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,,,,3.1199999999999948
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,,,,3.2899999999999947
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,,,,3.391999999999995
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,,,,3.499999999999995
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,,,,3.319999999999995
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,,,,3.516799999999995
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,,,,3.529999999999995
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,,,,3.344999999999995
AFMD,2020-06-01,3.26,3.4,3.26,3.3366,142618,,,,3.336599999999994
AFMD,2020-05-29,3.03,3.17,2.9702,3.1401,244936,,,,3.140099999999994
AFMD,2020-05-28,3.17,3.39,3.17,3.378,247626,,,,3.3779999999999943
AFMD,2020-05-27,3.14,3.21,3.03,3.06,155311,,,,3.0599999999999943
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,,,,3.0299999999999945
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,,,,3.0299999999999945
AFMD,2020-05-22,2.87,2.92,2.81,2.91,124575,,,,2.9099999999999944
AFMD,2020-05-21,2.88,2.91,2.73,2.8652,103179,,,,2.8651999999999944
AFMD,2020-05-20,2.96,2.98,2.81,2.8232,276648,,,,2.823199999999994
AFMD,2020-05-19,2.47,2.53,2.45,2.52,513320,,,,2.5199999999999942
AFMD,2020-05-18,2.44,2.48,2.4,2.465,278884,,,,2.464999999999994
AFMD,2020-05-15,2.09,2.17,2.0,2.1608,201341,,,,2.1607999999999947
AFMD,2020-05-14,2.05,2.05,1.88,1.97,157552,,,,1.9699999999999944
AFMD,2020-05-13,2.15,2.175,2.1,2.16,63664,,,,2.159999999999995
AFMD,2020-05-12,2.22,2.255,2.135,2.205,67920,,,,2.2049999999999947
AFMD,2020-05-11,2.26,2.2901,2.21,2.26,50178,,,,2.2599999999999945
